genus,species,MUSEUM,Museum Rego No,SVL (cm),Tail length (cm),tail width (max),head length (mm),head width (mm),body width (cm),eye diam. (mm),Sex,Adult?
Aipysurus,eydouxii,AUST MUSEUM,R95140,500,81,17,18.2,9.7,20,2.8,m,a
Aipysurus,eydouxii,AUST MUSEUM,R95141,390,61,15,17.6,10,16,1.7,f,j
Aipysurus,eydouxii,AUST MUSEUM,R95145,520,70,18,18.1,11.3,16,2.1,f,a
Aipysurus,eydouxii,AUST MUSEUM,R95152,460,76,18,19.6,10.7,18,2.4,m,a
Aipysurus,eydouxii,AUST MUSEUM,R95179,480,71,18,20,10.1,17,2.3,f,a
Aipysurus,eydouxii,AUST MUSEUM,R95180,640,88,18,20.8,12.7,18,2.8,f,a
Aipysurus,eydouxii,AUST MUSEUM,R95196,580,78,21,21.2,10,24,2.6,f,a
Aipysurus,eydouxii,AUST MUSEUM,R95198,570,90,19,23.5,14.1,19,2.2,f,a
Aipysurus,eydouxii,AUST MUSEUM,R95220,610,74,21,23.6,12.5,28,2.7,f,a
Aipysurus,eydouxii,AUST MUSEUM,R95222,590,83,20,24.2,12.6,20,3.1,m,a
Aipysurus,eydouxii,AUST MUSEUM,R95232,630,81,19,20.9,13,19,2.3,f,a
Aipysurus,eydouxii,AUST MUSEUM,R95233,490,72,20,18.5,10.2,15,2.7,f,a
Aipysurus,eydouxii,AUST MUSEUM,R95235,580,83,20,21.5,11.7,16,2.3,f,a
Aipysurus,eydouxii,AUST MUSEUM,R101249,600,100,23,22.5,11.9,30,2.2,f,a
Aipysurus,eydouxii,AUST MUSEUM,R101294,580,107,25,20.4,11.2,33,3,m,a
Aipysurus,eydouxii,AUST MUSEUM,R101299,710,113,25,22.7,10.6,24,2.2,f,a
Aipysurus,eydouxii,AUST MUSEUM,R101300,735,110,30,24.3,11.6,25,2.8,f,a
Aipysurus,eydouxii,AUST MUSEUM,R105053,380,75,14,17.5,9.8,20,2.4,m,j
Aipysurus,eydouxii,AUST MUSEUM,R106781,377,87,16,21.5,10.7,23,3.5,m,j
Aipysurus,eydouxii,AUST MUSEUM,R106782,450,77,16,21.7,9.9,22,3.2,m,a
Aipysurus,eydouxii,AUST MUSEUM,R144775,582,120,23,21.8,14.8,28,3,m,a
Aipysurus,eydouxii,AUST MUSEUM,R163602,626,91,18,20.3,10.7,24,2.2,m,a
Aipysurus,eydouxii,AUST MUSEUM,R177700,840,136,28,22.6,14.9,28,3.5,m,a
Aipysurus,eydouxii,AUST MUSEUM,R140858,610,118,25,25.7,17.5,30,2.5,m,a
Aipysurus,eydouxii,AUST MUSEUM,R140856,665,118,27,24.7,16.4,30,3.2,m,a
Aipysurus,eydouxii,AUST MUSEUM,R140859,790,120,30,24.9,21.8,36,3.8,f,a
Aipysurus,eydouxii,AUST MUSEUM,R140860,660,130,30,26.5,18.6,35,4,m,a
Aipysurus,eydouxii,AUST MUSEUM,R140863,700,131,25,23.2,15.2,30,3.4,m,a
Aipysurus,eydouxii,AUST MUSEUM,R140862,735,110,26,26.3,17.2,34,3.6,f,a
Aipysurus,eydouxii,AUST MUSEUM,R140857,740,110,30,27,21.2,40,3.2,f,a
Aipysurus,eydouxii,AUST MUSEUM,R140861,780,135,30,27.2,18.6,42,3.2,f,a
Aipysurus,eydouxii,AUST MUSEUM,R140871,565,102,23,23.2,16.4,27,3,f,a
Aipysurus,eydouxii,AUST MUSEUM,R140869,690,138,29,26.2,16.5,32,3,m,a
Aipysurus,eydouxii,AUST MUSEUM,R140864,600,97,27,23.5,16.3,33,2.7,f,a
Aipysurus,eydouxii,AUST MUSEUM,R140865,760,0,27,27.7,16.2,38,3.5,f,a
Aipysurus,eydouxii,AUST MUSEUM,R140868,780,114,25,25,17,31,3,f,a
Aipysurus,eydouxii,AUST MUSEUM,R163859,780,120,31,26.6,19.8,42,3.2,f,a
Aipysurus,eydouxii,AUST MUSEUM,R140867,610,96,24,20.2,13.5,28,3,f,j
Aipysurus,eydouxii,AUST MUSEUM,R140870,620,94,25,22.6,14.8,30,2.7,f,a
Aipysurus,eydouxii,AUST MUSEUM,R163861,760,128,29,26.2,16.7,30,3.2,f,a
Aipysurus,eydouxii,AUST MUSEUM,R140866,640,108,25,26,16.7,25,2.9,f,j
Aipysurus,eydouxii,AUST MUSEUM,R163862,810,130,27,23.2,17.2,39,3.8,f,a
Aipysu+C370rus,foliosquama,AUST MUSEUM,R44899,900,92,24,22.3,16.5,25,2.5,f,a
Aipysurus,foliosquama,AUST MUSEUM,R44906,710,88,20,19.5,13.7,21,2.7,m,a
Aipysurus,foliosquama,AUST MUSEUM,R44872,800,88,20,20.7,16.7,21,3.6,m,a
Aipysurus,foliosquama,AUST MUSEUM,R44902,670,78,20,18.1,11.6,18,3,m,a
Aipysurus,foliosquama,AUST MUSEUM,R44890,690,84,18,18.7,14.5,17,2.3,m,a
Aipysurus,foliosquama,AUST MUSEUM,R104810,1000,111,30,31.6,22.9,33,3.5,f,a
Aipysurus,foliosquama,AUST MUSEUM,R44456,830,96,17,23,0,25,3.2,m,a
Aipysurus,foliosquama,AUST MUSEUM,R44597,730,91,24,22.4,15.9,23,3,m,a
Aipysurus,foliosquama,AUST MUSEUM,R44619,760,100,19,19.6,11.8,23,2.8,m,a
Aipysurus,foliosquama,AUST MUSEUM,R44896,740,98,23,19.5,15.2,22,2.7,m,a
Aipysurus,foliosquama,AUST MUSEUM,R44592,780,81,26,22.6,18,30,3.2,f,a
Aipysurus,foliosquama,AUST MUSEUM,R44576,690,84,22,19.6,13.7,26,2.9,m,a
Aipysurus,foliosquama,AUST MUSEUM,R37143,690,66,21,19.5,11.6,19,3.2,m,a
Aipysurus,foliosquama,AUST MUSEUM,R40488,750,100,23,23.2,15.6,30,3,m,a
Aipysurus,foliosquama,AUST MUSEUM,R41508,640,78,20,20,12.4,21,2.3,m,a
Aipysurus,foliosquama,AUST MUSEUM,R40483,650,88,19,22.6,13.7,19,2.9,m,a
Aipysurus,foliosquama,AUST MUSEUM,R41542,660,86,20,19.5,12.8,21,2.5,m,a
Aipysurus,foliosquama,AUST MUSEUM,R44446,670,73,19,22.5,14,20,3,f,a
Aipysurus,foliosquama,AUST MUSEUM,R40499,750,90,21,20.5,15.3,18,3,m,a
Aipysurus,foliosquama,AUST MUSEUM,R41516,655,78,19,22.2,13.5,19,2.7,m,a
Aipysurus,foliosquama,AUST MUSEUM,R40492,575,70,18,18.4,13,19,2.6,m,j
Aipysurus,foliosquama,AUST MUSEUM,R40496,770,88,24,0,0,28,0,f,a
Aipysurus,foliosquama,AUST MUSEUM,R37137,780,88,21,24.8,14.9,20,3,f,a
Aipysurus,foliosquama,AUST MUSEUM,R41537,765,100,25,21,14.6,27,3.2,m,a
Aipysurus,foliosquama,AUST MUSEUM,R40489,750,95,22,21.7,14.1,25,3,m,a
Aipysurus,foliosquama,AUST MUSEUM,R41521,740,98,22,22,15.3,26,2.5,f,a
Aipysurus,foliosquama,AUST MUSEUM,R42701,730,88,19,19.5,10.2,17,3.5,m,a
Aipysurus,foliosquama,AUST MUSEUM,R44443,675,84,23,20.1,12.4,24,2.3,m,a
Aipysurus,foliosquama,AUST MUSEUM,R41526,670,64,20,19.6,12.5,22,2.5,f,j
Aipysurus,fuscus,AUST MUSEUM,R37142,670,90,20,20.5,14.6,22,2.9,f,a
Aipysurus,fuscus,AUST MUSEUM,R44445,510,79,18,18,12.4,18,2,f,j
Aipysurus,fuscus,AUST MUSEUM,R41054,560,86,21,19.6,12.8,22,3,m,a
Aipysurus,fuscus,AUST MUSEUM,R44441,700,108,21,22.1,15.7,28,3.4,f,a
Aipysurus,fuscus,AUST MUSEUM,R42708,690,99,25,22,13.6,24,2.9,f,a
Aipysurus,fuscus,AUST MUSEUM,R41538,720,106,25,23.6,17.3,28,3.2,f,a
Aipysurus,fuscus,AUST MUSEUM,R41531,625,93,20,18.5,12,19,3,m,a
Aipysurus,fuscus,AUST MUSEUM,R40482,695,106,23,21.6,14.5,26,3,f,a
Aipysurus,fuscus,AUST MUSEUM,R41056,585,93,21,20.7,14,24,3.5,m,a
Aipysurus,fuscus,AUST MUSEUM,R40498,630,102,21,22,15.8,20,2.8,f,a
Aipysurus,fuscus,AUST MUSEUM,R40487,735,110,25,0,0,23,0,f,a
Aipysurus,fuscus,AUST MUSEUM,R41055,650,102,22,20.5,13.8,21,3.4,m,a
Aipysurus,fuscus,AUST MUSEUM,R40481,720,111,25,25.5,15.7,24,3.2,f,a
Aipysurus,fuscus,AUST MUSEUM,R41533,700,110,19,21.8,14.4,23,3,m,a
Aipysurus,fuscus,AUST MUSEUM,R41534,705,116,22,25.4,15.6,24,3.6,m,a
Aipysurus,fuscus,AUST MUSEUM,R41535,670,105,22,20.3,13.7,26,3.8,m,a
Aipysurus,fuscus,AUST MUSEUM,R42697,645,95,24,20.6,14.1,22,4.1,m,a
Aipysurus,fuscus,AUST MUSEUM,R37135,690,101,20,19.5,12.6,21,3,m,a
Aipysurus,fuscus,AUST MUSEUM,R44893,820,120,30,26.7,17.3,26,4,f,a
Aipysurus,fuscus,AUST MUSEUM,R44603,700,103,21,21.6,11.8,21,3,m,a
Aipysurus,fuscus,AUST MUSEUM,R44586,708,105,26,24.3,14.2,27,3.2,f,a
Aipysurus,fuscus,AUST MUSEUM,R44869,660,108,25,22.5,14.6,24,3,f,a
Aipysurus,fuscus,AUST MUSEUM,R44887,720,99,24,0,0,22,0,f,a
Aipysurus,fuscus,AUST MUSEUM,R44916,660,105,21,20.5,11.8,21,3,m,a
Aipysurus,fuscus,AUST MUSEUM,R44462,715,105,22,23.2,15.3,21,3.5,m,a
Aipysurus,fuscus,AUST MUSEUM,R44469,710,103,22,22.6,15.7,27,3,f,a
Aipysurus,fuscus,AUST MUSEUM,R45052,650,92,19,19.2,12.8,23,2.7,m,a
Aipysurus,fuscus,AUST MUSEUM,R44879,640,98,22,19.2,13.4,20,2.6,m,a
Aipysurus,fuscus,AUST MUSEUM,R44880,700,105,22,22.6,15,22,3.6,m,a
Emydocephalus,annulatus,AUST MUSEUM,R185673,410,74,15,15.2,9.8,18,2.6,m,j
Emydocephalus,annulatus,AUST MUSEUM,R185674,320,52,12,15.6,9.2,17,1.9,f,j
Emydocephalus,annulatus,AUST MUSEUM,R185676,315,56,13,16.5,10,18,2.6,m,j
Emydocephalus,annulatus,AUST MUSEUM,R186599,310,54,12,14,9.2,17,2.4,m,j
Emydocephalus,annulatus,AUST MUSEUM,R185675,319,57,13,15.7,9,13,2.3,m,j
Emydocephalus,annulatus,AUST MUSEUM,R185677,425,66,14,16.3,11.3,17,2.4,f,j
Emydocephalus,annulatus,AUST MUSEUM,R185680,555,95,14,17.7,12.3,20,2.8,m,a
Emydocephalus,annulatus,AUST MUSEUM,R185682,565,85,22,19.2,13.8,19,2.7,f,a
Emydocephalus,annulatus,AUST MUSEUM,R185940,600,100,18,18.6,12.7,21,3,m,a
Emydocephalus,annulatus,AUST MUSEUM,R185684,565,93,18,18.4,12.5,22,2.5,m,a
Emydocephalus,annulatus,AUST MUSEUM,R185679,550,90,20,18.5,13.6,22,2.9,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44882,480,89,23,18.3,12.4,22,2.7,m,j
Emydocephalus,annulatus,AUST MUSEUM,R44471,570,104,24,20.6,11.8,22,3.1,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44540,570,109,19,18.2,11.5,20,2.6,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44608,540,100,22,19.5,12.2,20,2.6,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44537,680,111,25,23.4,15.7,30,3.1,f,a
Emydocephalus,annulatus,AUST MUSEUM,R44604,465,75,20,18.7,12.7,24,2,f,j
Emydocephalus,annulatus,AUST MUSEUM,R44543,730,114,28,25.2,17.7,36,3.3,f,a
Emydocephalus,annulatus,AUST MUSEUM,R44889,680,111,29,23.2,13.7,41,3,f,a
Emydocephalus,annulatus,AUST MUSEUM,R44590,530,94,21,18.5,11.9,23,3.1,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44645,520,98,24,18.7,12.9,25,3.2,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44621,545,100,22,19.6,12.3,26,2.7,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44509,635,120,24,19.3,13.2,20,3,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44622,580,93,22,21.6,13,31,2.4,f,a
Emydocephalus,annulatus,AUST MUSEUM,R44641,660,115,25,22.1,13.6,26,3.4,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44573,680,0,28,27.4,15.7,36,2.8,f,a
Emydocephalus,annulatus,AUST MUSEUM,R44884,570,105,25,21.5,14.7,25,3.3,m,a
Emydocephalus,annulatus,AUST MUSEUM,R44585,630,102,28,22.5,14.7,31,3.3,f,a
Emydocephalus,annulatus,AUST MUSEUM,R44507,620,102,26,22.6,15.1,28,2.8,f,a
Emydocephalus,annulatus,AUST MUSEUM,R44624,645,115,28,21.3,14.3,27,3.6,m,a
